Total terms:1806	Total Docs:967
-----------------------------------------------------------
NO.	Term	Coverage_New	Coverage_Total
1	user	96	0.099
2	error	61	0.162
3	when	27	0.190
4	report	50	0.242
5	issue	45	0.289
6	re	42	0.332
7	course	32	0.365
8	exam	38	0.404
9	learning	30	0.435
10	program	22	0.458
11	ref	24	0.483
12	impl	5	0.488
13	enrollment	14	0.503
14	from	14	0.517
15	session	13	0.531
16	module	12	0.543
17	records	12	0.555
18	tcc	11	0.567
19	ekp	10	0.577
20	page	14	0.592
21	training	11	0.603
22	editor	8	0.611
23	after	9	0.620
24	e	14	0.635
25	loader	1	0.636
26	data	5	0.641
27	catalog	10	0.651
28	modules	6	0.658
29	users	13	0.671
30	wizard	1	0.672
31	system	12	0.685
32	appraisal	12	0.697
33	csv	3	0.700
34	display	6	0.706
35	new	6	0.713
36	working	9	0.722
37	button	4	0.726
38	does	5	0.731
39	question	6	0.737
40	status	6	0.744
41	cannot	9	0.753
42	doesn't	5	0.758
43	review	7	0.765
44	all	2	0.767
45	path	0	0.767
46	profile	4	0.771
47	9.3	6	0.778
48	id	2	0.780
49	instructor	5	0.785
50	transcript	3	0.788
51	date	3	0.791
52	import	1	0.792
53	mail	1	0.793
54	see	0	0.793
55	show	1	0.794
56	template	1	0.795
57	access	4	0.799
58	change	4	0.804
59	file	9	0.813
60	unable	2	0.815
61	up	3	0.818
62	upgrade	3	0.821
63	completed	2	0.823
64	organization	4	0.827
65	problem	4	0.831
66	update	1	0.832
67	work	0	0.832
68	wrong	2	0.835
69	zd	5	0.840
70	bug	1	0.841
71	can	2	0.843
72	completion	0	0.843
73	language	7	0.850
74	list	2	0.852
75	performance	2	0.854
76	search	4	0.858
77	site	3	0.861
78	can't	1	0.862
79	cx	0	0.862
80	knowledge	0	0.862
81	save	0	0.862
82	account	1	0.863
83	add	1	0.865
84	courses	1	0.866
85	email	5	0.871
86	group	0	0.871
87	job	2	0.873
88	kc	2	0.875
89	launch	0	0.875
90	manager	0	0.875
91	missing	4	0.879
92	properties	3	0.882
93	reports	2	0.884
94	test	2	0.886
95	auto	0	0.886
96	html	1	0.887
97	issues	2	0.889
98	malfunction	0	0.889
99	permissions	2	0.891
100	upload	1	0.892
101	api	0	0.892
102	approval	0	0.892
103	center	0	0.892
104	changes	1	0.893
105	do	0	0.893
106	errors	2	0.896
107	even	1	0.897
108	fre	1	0.898
109	org	1	0.899
110	programs	2	0.901
111	self	0	0.901
112	summary	0	0.901
113	text	2	0.903
114	visible	1	0.904
115	widget	0	0.904
116	9.2	2	0.906
117	appears	0	0.906
118	assigned	2	0.908
119	classroom	0	0.908
120	competency	2	0.910
121	correctly	0	0.910
122	displayed	1	0.911
123	displaying	1	0.912
124	end	0	0.912
125	enrolled	0	0.912
126	enrollments	0	0.912
127	has	1	0.913
128	home	0	0.913
129	level	0	0.913
130	message	0	0.913
